Age [ka],r (GoM/GRIP d18O),r (GoM/GRIP T),r (GoM/PaTh),r (GoM/Badgeley),p (GoM/GRIP d18O),p (GoM/GRIP T),p (GoM/PaTh),p (GoM/Badgeley),npoints (GoM/GRIP d18O),npoints (GoM/GRIP T),npoints (GoM/PaTh),npoints (GoM/Badgeley)
0.1,,,,,,,,,,,,
0.2,,,,,,,,,,,,
0.3,-1.0,-1.0,,1.0,0.0,0.0,,0.0,2.0,2.0,,2.0
0.4,0.40848873107480527,0.3725439658099791,,0.16314061929553583,0.5915112689251948,0.6274560341900209,,0.8368593807044642,4.0,4.0,,4.0
0.5,0.5945308552456893,0.559440848454296,,0.24734598105068517,0.21327721755876436,0.248383964970426,,0.6365473462314815,6.0,6.0,,6.0
0.6,0.4193134274796496,0.4068253003115199,0.0,0.28655101783150083,0.3010829034182713,0.3171890294779506,,0.4914037494336254,8.0,8.0,1.0,8.0
0.7,0.3488372458185208,0.34393625284867363,0.0,0.18427433786853778,0.323192626739646,0.33049901630718975,,0.6103113399961493,10.0,10.0,1.0,10.0
0.8,0.0696938805185779,0.06436530968763123,1.0,0.07280101362542478,0.829593639141386,0.8424727132127782,0.0,0.8221012838640751,12.0,12.0,2.0,12.0
0.9,0.1122082707161841,0.11041708371422412,1.0,0.13001235249674217,0.7025273288454005,0.7070830794037948,0.0,0.6577688672555103,14.0,14.0,2.0,14.0
1.0,0.13787777716280689,0.13681940033231552,1.0,0.15303448729872718,0.6241174310063012,0.6268072146714021,0.0,0.586093593307432,15.0,15.0,2.0,15.0
1.1,0.13787777716280689,0.13681940033231552,1.0,0.15303448729872718,0.6241174310063012,0.6268072146714021,0.0,0.586093593307432,15.0,15.0,2.0,15.0
1.2,0.23297404053322462,0.24336199740428888,1.0,0.20563327628351147,0.4228083437833443,0.4018089587555478,0.0,0.48064316068137813,14.0,14.0,2.0,14.0
1.3,0.07451463810108365,0.08015487732181614,1.0,0.0808020766295409,0.8179749425246757,0.8044238917867097,0.0,0.8028720385482535,12.0,12.0,2.0,12.0
1.4,-0.20139573849010559,-0.16866268362644013,1.0,0.006356128132181629,0.5768851045238301,0.6413679992376013,0.0,0.9860965314251328,10.0,10.0,2.0,10.0
1.5,-0.23612653948992446,-0.20143193788786995,1.0,-0.1408713550754317,0.57344423395128,0.6324070908791071,0.0,0.7393398493712954,8.0,8.0,2.0,8.0
1.6,0.008468360009162436,0.01409619454300427,0.0,0.24351227659457778,0.9872977636325204,0.9788571086614555,,0.6419515084610552,6.0,6.0,1.0,6.0
1.7,0.7346157969433006,0.7291273737407132,0.0,0.9083979829498117,0.2653842030566993,0.27087262625928665,,0.0916020170501883,4.0,4.0,1.0,4.0
1.8,0.9999999999999999,1.0,,1.0,0.0,0.0,,0.0,2.0,2.0,,2.0
1.9,,,,,,,,,,,,
2.0,,,,,,,,,,,,
2.1,,,,,,,,,,,,
2.2,,,,,,,,,,,,
2.3,,,,,,,,,,,,
2.4,,,,,,,,,,,,
2.5,,,,,,,,,,,,
2.6,,,,,,,,,,,,
2.7,,,,,,,,,,,,
2.8,,,,,,,,,,,,
2.9,,,,,,,,,,,,
3.0,,,,,,,,,,,,
3.1,,,,,,,,,,,,
3.2,,,,,,,,,,,,
3.3,,,,,,,,,,,,
3.4,,,,,,,,,,,,
3.5,,,,,,,,,,,,
3.6,,,,,,,,,,,,
3.7,,,,,,,,,,,,
3.8,,,,,,,,,,,,
3.9,,,,,,,,,,,,
4.0,,,,,,,,,,,,
4.1,,,,,,,,,,,,
4.2,,,,,,,,,,,,
4.3,,,,,,,,,,,,
4.4,,,,,,,,,,,,
4.5,,,,,,,,,,,,
4.6,,,,,,,,,,,,
4.7,,,,,,,,,,,,
4.8,,,,,,,,,,,,
4.9,,,,,,,,,,,,
5.0,,,,,,,,,,,,
5.1,,,,,,,,,,,,
5.2,,,,,,,,,,,,
5.3,,,,,,,,,,,,
5.4,,,,,,,,,,,,
5.5,,,,,,,,,,,,
5.6,,,,,,,,,,,,
5.7,,,,,,,,,,,,
5.8,,,,,,,,,,,,
5.9,,,,,,,,,,,,
6.0,,,,,,,,,,,,
6.1,,,,,,,,,,,,
6.2,,,,,,,,,,,,
6.3,,,,,,,,,,,,
6.4,,,,,,,,,,,,
6.5,0.0,0.0,,0.0,,,,,1.0,1.0,,1.0
6.6,-0.9512498404230619,-0.9654822355427926,0.0,-0.39524723091903274,0.19960134009966518,0.1677543043393274,,0.7413178432145742,3.0,3.0,1.0,3.0
6.7,-0.005769241109716558,0.062426688882687056,0.0,-0.10656276085578209,0.9926544148250112,0.9205675274422175,,0.864577306380909,5.0,5.0,1.0,5.0
6.8,0.13793508445752356,0.18496279570443497,0.0,-0.025614907112520964,0.7680553860627805,0.691340937257551,,0.9565290475376507,7.0,7.0,1.0,7.0
6.9,0.332704699616595,0.35912647789018565,1.0,-0.19347907632280067,0.3816677394944678,0.3425315344856101,0.0,0.6179370967019076,9.0,9.0,2.0,9.0
7.0,0.32547079701109466,0.34432309130243927,1.0,-0.4824891413522175,0.328723461126257,0.29978029964944475,0.0,0.1328150416714413,11.0,11.0,2.0,11.0
7.1,0.07352142787770477,0.09668166214134903,1.0,-0.034200922399892926,0.811340838765264,0.7533667767204841,0.0,0.9116806971719607,13.0,13.0,2.0,13.0
7.2,0.10328096870513168,0.1238888817442742,0.358678155470223,-0.007274360185813747,0.7141522499464039,0.6600133818704358,0.7664551200025503,0.9794732227525736,15.0,15.0,3.0,15.0
7.3,0.031727334754105406,0.05930368951291786,-0.6447730036389838,-0.107972510488774,0.9037856809944891,0.8211323614599699,0.3552269963610162,0.679986055229944,17.0,17.0,4.0,17.0
7.4,0.06328593070564621,0.09609278222255338,-0.6447730036389838,-0.08146037799126192,0.7968801374624755,0.6955529438246206,0.3552269963610162,0.7402492876266982,19.0,19.0,4.0,19.0
7.5,0.14035759273660894,0.16802547444915555,-0.6447730036389838,0.062260802928830024,0.5665640050325573,0.4917063332136483,0.3552269963610162,0.8001063937609034,19.0,19.0,4.0,19.0
7.6,0.10869476685063012,0.1306570395289014,-0.5407668641939125,0.027786330233295537,0.6578085503608226,0.5939288353061609,0.6362682457271842,0.9100968564808685,19.0,19.0,3.0,19.0
7.7,-0.3434192661225581,-0.3554461203863979,-0.5407668641939125,-0.40266133346368116,0.15000359834507482,0.13532124545800545,0.6362682457271842,0.08740752550021777,19.0,19.0,3.0,19.0
7.8,-0.14758798522491384,-0.14398619304684523,0.2650450593829967,-0.09324492293786175,0.546532786966611,0.5564713361491485,0.7349549406170033,0.7041822275290095,19.0,19.0,4.0,19.0
7.9,-0.26524275566977085,-0.27188159145317997,0.3005696580341382,-0.10179405900384014,0.27243086366995617,0.2601552738143966,0.8056464298989294,0.6783856700658173,19.0,19.0,3.0,19.0
8.0,-0.257732460506543,-0.2619055359964103,0.2967574567172643,-0.11799999293639575,0.28674428896557635,0.27873520027927956,0.7032425432827357,0.6304325432540434,19.0,19.0,4.0,19.0
