Age [ka],r (GoM/GRIP d18O),r (GoM/GRIP T),r (GoM/PaTh),r (GoM/Badgeley),p (GoM/GRIP d18O),p (GoM/GRIP T),p (GoM/PaTh),p (GoM/Badgeley),npoints (GoM/GRIP d18O),npoints (GoM/GRIP T),npoints (GoM/PaTh),npoints (GoM/Badgeley)
8.1,-0.08876981019569603,-0.09892558291732019,0.04180405065774532,-0.11825760432442395,0.717812073610365,0.6870046830992207,0.9467889365752364,0.6296809653519702,19.0,19.0,5.0,19.0
8.2,-0.10448240697464754,-0.10700435014200481,0.09908259257837827,-0.14965237750578392,0.6703424280276551,0.6628281172572131,0.9009174074216217,0.5408727228346462,19.0,19.0,4.0,19.0
8.3,-0.05666319180036484,-0.05610227848171736,0.5189626569128604,-0.1434188794956369,0.8177764964890678,0.8195519363864672,0.6526367303768041,0.5580440063709776,19.0,19.0,3.0,19.0
8.4,0.04130590146500862,0.032541174002353256,0.5189626569128604,-0.11012011950423613,0.866665245253734,0.8947878586222224,0.6526367303768041,0.653586927931466,19.0,19.0,3.0,19.0
8.5,0.02412906223082395,0.016812900108206803,0.5189626569128604,-0.1779170643989595,0.9218929780168328,0.9455350271942269,0.6526367303768041,0.46617397089094637,19.0,19.0,3.0,19.0
8.6,0.1229355173614995,0.11049002373255172,0.5189626569128604,-0.11584253257877174,0.6160944020354653,0.6524929802314076,0.6526367303768041,0.6367404923588955,19.0,19.0,3.0,19.0
8.7,0.12722747071103432,0.13010988634223217,0.5189626569128604,-0.29794378975720437,0.6037329539636589,0.5954885395897531,0.6526367303768041,0.2153769874484282,19.0,19.0,3.0,19.0
8.8,0.13052652136810092,0.13247263828175654,-1.0,0.0675316469988899,0.5943007336033375,0.5887655395461688,0.0,0.7835522107662491,19.0,19.0,2.0,19.0
8.9,0.15471435588820343,0.16321601113574183,-0.5280482796846038,0.21446088412489522,0.5271078129447151,0.5043618469963742,0.645848004956612,0.37795381902201775,19.0,19.0,3.0,19.0
9.0,0.19634412462090015,0.20471018334886237,-1.0,0.2060163744670265,0.42045655475712285,0.4005217865235422,0.0,0.397456737469416,19.0,19.0,2.0,19.0
9.1,0.1269910163861516,0.1304779449402155,0.0,0.22987734469484689,0.6044113339886792,0.5944391719161652,,0.34376628402142984,19.0,19.0,1.0,19.0
9.2,0.11446752033996044,0.11345879001789023,0.0,0.2891457654837081,0.6407732850707792,0.6437379520363637,,0.22988699556305203,19.0,19.0,1.0,19.0
9.3,0.4849698768302619,0.49962476239563247,1.0,0.39155517260655365,0.03532807770518122,0.02939892036512176,0.0,0.09734836191224021,19.0,19.0,2.0,19.0
9.4,0.3928289596234936,0.4048114707974211,0.9643706402144709,0.2963328848866354,0.09616839337293408,0.08557234433706776,0.17045003951518017,0.2179877822066873,19.0,19.0,3.0,19.0
9.5,0.40935233000840177,0.40925510399180476,0.9643706402144709,0.26025990748023936,0.08178978462937216,0.08186946113336144,0.17045003951518017,0.28187685716465805,19.0,19.0,3.0,19.0
9.6,0.309751474477275,0.2878930835640121,0.6717548775756867,0.28100111681032397,0.19686541573710145,0.23200305339050498,0.32824512242431325,0.24386924812435118,19.0,19.0,4.0,19.0
9.7,0.35647172007997785,0.33777611836180793,0.6717548775756867,0.39816370905627463,0.13411770569515602,0.15725925641875027,0.32824512242431325,0.09133929848771072,19.0,19.0,4.0,19.0
9.8,0.2992876024958487,0.27867025406691615,0.05243398219164966,0.36980244315871,0.21321478882909653,0.24796838075455327,0.9475660178083504,0.11915257310571668,19.0,19.0,4.0,19.0
9.9,0.03495639296665933,0.01419434251350992,0.05243398219164966,0.08043204239373358,0.8904763513193944,0.9554210601854407,0.9475660178083504,0.7510461090872982,18.0,18.0,4.0,18.0
10.0,-0.18876271101148953,-0.18938964212201226,0.05243398219164966,-0.11980260914977908,0.46810292508577156,0.4665990705126506,0.9475660178083504,0.6469598379142399,17.0,17.0,4.0,17.0
10.1,-0.15947221317778779,-0.15665001940027062,0.05243398219164966,-0.06272931219599404,0.5702354664022217,0.5771652542170872,0.9475660178083504,0.8242436873162764,15.0,15.0,4.0,15.0
10.2,-0.003789803971247688,-0.02617231142621845,0.05243398219164966,0.0678082295980697,0.990196369619175,0.9323643794581318,0.9475660178083504,0.8257909195674422,13.0,13.0,4.0,13.0
10.3,0.5529136995379126,0.5605583124700292,-1.0,0.709784695510064,0.0622445375326473,0.05797887426831151,0.0,0.00971387364918605,12.0,12.0,2.0,12.0
10.4,0.5488540540340271,0.5464259394184896,-1.0,0.7089212548184136,0.06459604268578605,0.0660314933007424,0.0,0.009843330409558971,12.0,12.0,2.0,12.0
10.5,0.6654290510525808,0.6649683657485458,-0.44169876820998744,0.7934662994869702,0.018191983279558704,0.01830150945185463,0.5583012317900126,0.0020680072122583075,12.0,12.0,4.0,12.0
10.6,0.6428667021657241,0.6330161486202506,0.3123809790190417,0.8022673984554022,0.024145765887971904,0.027144540821162598,0.7977469102769352,0.001689990397706526,12.0,12.0,3.0,12.0
10.7,0.3102449524698989,0.27678674459959257,-0.16999420259160244,0.36597473304529593,0.3263839438404854,0.38379862405015175,0.8300057974083975,0.24201470008526013,12.0,12.0,4.0,12.0
10.8,0.024254179949925722,-0.012459346214179143,-0.5136267032424187,0.12451861979173633,0.9403587707676548,0.9693446731549799,0.6566032664105421,0.6998146453671283,12.0,12.0,3.0,12.0
10.9,0.060270237503451146,0.03697059095124126,-0.5096983769610285,0.12885442486560145,0.8378300475390457,0.9001470689701732,0.4903016230389715,0.660649498182031,14.0,14.0,4.0,14.0
11.0,-0.26812788136283716,-0.26893206153497495,-0.6040985829010284,-0.1272592734030924,0.3339364985499046,0.3324328151804914,0.20408051338340968,0.6512981170089249,15.0,15.0,6.0,15.0
11.1,-0.31021298094793787,-0.31192690593754097,-0.6040985829010284,-0.1117829547163033,0.2255912790802513,0.22290314337281403,0.20408051338340968,0.6692847531280557,17.0,17.0,6.0,17.0
11.2,0.10678044972326468,0.13632414955506855,-0.6040985829010284,0.15205618691224868,0.6634940116079795,0.5778753112493988,0.20408051338340968,0.5343158066585588,19.0,19.0,6.0,19.0
11.3,-0.4581620208893597,-0.46378378867600906,0.22438571610222716,-0.5085931032301131,0.0485259342105628,0.04548800666882378,0.5931854556157774,0.02617350399104675,19.0,19.0,8.0,19.0
11.4,-0.6183769031482031,-0.626733023716212,0.14440097838698496,-0.649566672831665,0.004770136066295515,0.004084792524143062,0.7329883684155111,0.002612940125981808,19.0,19.0,8.0,19.0
11.5,-0.595448015085555,-0.6047807301640292,0.3434049155893113,-0.6138403373873472,0.007148398867499807,0.006085054328560077,0.3655740612643804,0.0051800221072479365,19.0,19.0,9.0,19.0
11.6,-0.7149713710096098,-0.7214823548182403,0.37024248336078003,-0.7582455262161449,0.0005807232630060098,0.0004890834585409867,0.2922827653137239,0.00016855857112521352,19.0,19.0,10.0,19.0
11.7,-0.7377812084987656,-0.7416718793017117,0.33994866953504366,-0.7617914766582948,0.00031150852269525204,0.00027837474375903734,0.3365059135568735,0.00015063757338682824,19.0,19.0,10.0,19.0
11.8,-0.7690976686967282,-0.7694806262388805,0.36617000922574255,-0.791238524995479,0.00011877156562845288,0.00011727383001498425,0.26806017041725505,5.4708206938197784e-05,19.0,19.0,11.0,19.0
11.9,-0.7804003793350446,-0.7850893186533294,0.129716144796564,-0.7942828182654251,8.083174205431476e-05,6.845512258230377e-05,0.7394218043347418,4.8828322477110174e-05,19.0,19.0,9.0,19.0
12.0,-0.5419704675758905,-0.5530477480409772,-0.42771660154582525,-0.5249064036906262,0.016529094064939635,0.014047363336028428,0.25080633961495613,0.021023157306903417,19.0,19.0,9.0,19.0
12.1,0.08195450119534463,0.07576217715206554,0.35011192038465977,-0.006749949664982734,0.7387259424791031,0.7578820346208938,0.3213062248207833,0.9781207427603466,19.0,19.0,10.0,19.0
12.2,0.5859794477882198,0.5877358986324511,0.07493636425180035,0.6935159255819486,0.008377061931171596,0.008137064022427322,0.8266706453668061,0.0009916144518146023,19.0,19.0,11.0,19.0
12.3,0.4224572920143268,0.43019196490759665,0.09217171941583595,0.18781321022703418,0.07156399642097518,0.06599348181353219,0.7875183927975903,0.441316911548997,19.0,19.0,11.0,19.0
12.4,-0.4557615669118885,-0.4153312955864689,0.3570865368253962,-0.6951886078076117,0.0498692212244835,0.07699894579666172,0.28100909456872797,0.0009526294207024924,19.0,19.0,11.0,19.0
12.5,-0.6954546969810587,-0.6677307743773143,0.531890232121309,-0.859014605466203,0.000946547904341366,0.001783890983066762,0.09216792876737026,2.485481048571872e-06,19.0,19.0,11.0,19.0
12.6,-0.7239435625880485,-0.7123989892754325,0.5238932889719301,-0.848643549993641,0.0004577834846547366,0.0006207153602862313,0.08041574894752436,4.378841920857171e-06,19.0,19.0,12.0,19.0
12.7,-0.7638152867504051,-0.7524160237578905,0.48104226469109007,-0.866733673388143,0.00022481690875699752,0.0003151524109072072,0.134151709976852,3.2654818923545725e-06,18.0,18.0,11.0,18.0
12.8,-0.7890879475872624,-0.7817179464978025,0.3670172361392611,-0.8714699745531092,9.912350010907455e-05,0.00012723368536220558,0.2173576690070405,2.483024874506051e-06,18.0,18.0,13.0,18.0
12.9,-0.8880373407793715,-0.8848674428633089,0.4445440911579752,-0.904340057750318,8.691015899908e-07,1.0754218152833329e-06,0.11124996168400786,2.602130521950826e-07,18.0,18.0,14.0,18.0
13.0,-0.8711981173898817,-0.8788872075065928,0.6677374333824696,-0.8886514892825256,2.523099270835381e-06,1.5813360362387147e-06,0.017650392407561014,8.333542679144402e-07,18.0,18.0,12.0,18.0
13.1,-0.567527966817939,-0.5875607078825815,0.43980598069612953,-0.5594197122255089,0.014026288657076492,0.010344482967202737,0.15251849485693028,0.01578406675700351,18.0,18.0,12.0,18.0
13.2,-0.20795909974711568,-0.2193173413334734,0.32517052345491315,-0.11755684795349065,0.40763354423120834,0.3819001780148228,0.35924913712786566,0.6422451128353465,18.0,18.0,10.0,18.0
13.3,0.0699605182333,0.06687621833144618,0.23609426831758362,0.133745781650082,0.7826662437767464,0.7920442119142386,0.5408171900379327,0.5967460783406748,18.0,18.0,9.0,18.0
13.4,0.163310727791959,0.16030536543010715,0.235358965921582,0.2082789437589721,0.5173106858606233,0.5251532652182016,0.5747279131955928,0.40689641396509757,18.0,18.0,8.0,18.0
13.5,0.09399768872429538,0.08965330617710303,0.14724835484894197,0.19018863102031694,0.7197163749644647,0.7322124399303984,0.7527245980233839,0.4646859786064851,17.0,17.0,7.0,17.0
13.6,0.010744204379573003,0.0076485122178312085,0.07389566614001279,0.09431367165094293,0.9662498358803788,0.9759709674911916,0.8748930521643606,0.709711153687113,18.0,18.0,7.0,18.0
13.7,0.043565307963474756,0.04118774170663321,0.1977359107550904,0.17399661884258627,0.8637180245567058,0.8710951244708278,0.6708370151938781,0.4898769658858735,18.0,18.0,7.0,18.0
13.8,-0.09443232270765346,-0.09149692039739457,-0.5519183456790268,0.03876967789532913,0.7093609720817192,0.7180405094551583,0.1989595717395198,0.8786082750381708,18.0,18.0,7.0,18.0
13.9,-0.08331559624417133,-0.07869035191004939,-0.552732914596699,0.06429824476975617,0.7424024506602463,0.7562807170270667,0.15536337028092065,0.799903620378625,18.0,18.0,8.0,18.0
14.0,0.027830812951505263,0.006634823159862039,-0.59989025860995,0.11614463409172357,0.9127109073409948,0.9791549306938596,0.08769610511443052,0.6462752827882206,18.0,18.0,9.0,18.0
14.1,-0.17582546887335646,-0.20066328030378675,-0.7423210253586146,-0.1611798579256934,0.48525383199691474,0.42464179950263636,0.02198845304501249,0.5228656011088392,18.0,18.0,9.0,18.0
14.2,-0.15642667580958777,-0.1823103221889325,-0.7423210253586146,-0.14238828729307895,0.5353552440422708,0.46903444242170556,0.02198845304501249,0.5730141612720694,18.0,18.0,9.0,18.0
14.3,-0.2449392638234592,-0.28390517658777753,-0.3026478649821056,-0.22429478198363656,0.32727576088697885,0.25356890204501326,0.42859346961963796,0.37091383839875836,18.0,18.0,9.0,18.0
14.4,-0.34753235842793206,-0.3928244337880769,0.039552597069805184,-0.3177039756905079,0.1448635654377192,0.09617256738202616,0.9080811439269496,0.18501299998271648,19.0,19.0,11.0,19.0
14.5,-0.2627512437041587,-0.31069456471297474,0.17400125625546586,-0.2324921238499689,0.2771291193261279,0.19543408738530918,0.6306884687953901,0.3381518607597206,19.0,19.0,10.0,19.0
14.6,-0.4454784810850539,-0.4648617445446741,0.2318921167787621,-0.4622617904511366,0.05594618908399844,0.04492250544421893,0.5191447595261522,0.04629570611270619,19.0,19.0,10.0,19.0
14.7,-0.44699428562276583,-0.4527423911126633,0.38778099511413305,-0.46480038636464405,0.05501689278409111,0.05159870333945906,0.3024359272872835,0.04495454911485371,19.0,19.0,9.0,19.0
14.8,-0.38018075752906744,-0.3736167524290258,0.37004171756866766,-0.4771434267442165,0.10835463304490366,0.11509868367511786,0.4139093929955017,0.03885256959048974,19.0,19.0,7.0,19.0
14.9,-0.24517467566311787,-0.22698685931820883,0.3446721584500954,-0.39387603212139266,0.3116867949208336,0.3500351849501997,0.44899454964685215,0.0952062509637083,19.0,19.0,7.0,19.0
15.0,-0.20835962128168412,-0.19113417840875066,0.264695496240591,-0.4373504683253578,0.3919905146467907,0.4331330308083703,0.5263906150800055,0.061133029038337346,19.0,19.0,8.0,19.0
15.1,-0.04237326271329706,-0.024241656695016812,-0.11116333538243832,-0.6388607325928047,0.8632502843970326,0.9215295714757061,0.8124471095840553,0.003235884858155312,19.0,19.0,7.0,19.0
15.2,0.06057409157277695,0.07292924160075985,-0.11116333538243832,-0.6160449164768772,0.8054214979393255,0.7666917669031186,0.8124471095840553,0.0049773747694806395,19.0,19.0,7.0,19.0
15.3,0.1383655100197663,0.14090935108830555,-0.2732889672308247,-0.5005463605158873,0.572138497558718,0.5650242045387023,0.6564189164968945,0.029053846597162765,19.0,19.0,5.0,19.0
15.4,0.22053375755518248,0.21551386202190015,-0.36679447481984767,-0.30873111780421203,0.3642662643515898,0.375560152218408,0.5436769175875291,0.19842184394327078,19.0,19.0,5.0,19.0
15.5,0.3220721217591904,0.31204186188357497,-0.23871967603614977,-0.27062349214440845,0.17871122760741165,0.1934013419004933,0.6487224550285291,0.26245440154704364,19.0,19.0,6.0,19.0
15.6,0.3562330332266352,0.3493175695116561,-0.2309670843164123,-0.09636772255600466,0.13439713071581208,0.14267123495668427,0.7085595292613303,0.6947217222344005,19.0,19.0,5.0,19.0
15.7,0.29378726392061555,0.2885632290960742,-0.6256102388574233,-0.06191072471040682,0.22215542875753905,0.23086947230340316,0.258990858008559,0.8012088641435712,19.0,19.0,5.0,19.0
15.8,-0.05273823796150768,-0.04488940212322744,0.06264231627377059,-0.2534926716505978,0.8302173822864881,0.8552093245708924,0.920293519460863,0.2950243856667641,19.0,19.0,5.0,19.0
15.9,-0.25334332791200415,-0.2540302317145546,0.2108817214840056,-0.3273391505996269,0.29531867149014257,0.2939665871889114,0.6883664888842225,0.17130758406717358,19.0,19.0,6.0,19.0
16.0,-0.2951697601940966,-0.2946638989337827,0.17061864525690562,-0.31800039517926876,0.21988564861010623,0.2207144102213446,0.7145462957643016,0.18458070795945813,19.0,19.0,7.0,19.0
16.1,-0.10712749030443817,-0.12462048183985394,0.17061864525690562,0.09569996795245189,0.6624619935699605,0.611229414587493,0.7145462957643016,0.6967411080795475,19.0,19.0,7.0,19.0
16.2,-0.0979435691335999,-0.10455559607042986,0.17061864525690562,0.24384001964617344,0.6899639536997196,0.670123928936125,0.7145462957643016,0.31441174525379456,19.0,19.0,7.0,19.0
16.3,-0.11693162152565133,-0.12859683628580862,0.31019707925188805,0.35340945512672933,0.6335532063609691,0.5998104188922455,0.4546132838670811,0.13773369038584132,19.0,19.0,8.0,19.0
16.4,-0.13629613755961253,-0.14605401161980341,0.16747372675123462,0.31650792971970126,0.5779542037684468,0.550755751029579,0.6666992495913263,0.18676419644752293,19.0,19.0,9.0,19.0
16.5,-0.24065908776984532,-0.25201494687781073,0.19353279649044086,0.19207149743313195,0.3209633576892516,0.2979441365773454,0.6178376175998326,0.43083772195524406,19.0,19.0,9.0,19.0
16.6,-0.24094218088551883,-0.25557985417433976,0.2948080944773983,0.1614731292642254,0.3203770242871497,0.29093022509481214,0.47842762477742884,0.508986201868082,19.0,19.0,8.0,19.0
16.7,-0.20036864470759377,-0.21414390651266513,0.26037870793185613,-0.05477905054362771,0.4108016397102693,0.3786760517953004,0.4986224982046643,0.8237436221500367,19.0,19.0,9.0,19.0
16.8,-0.0021198165030378597,-0.016411490526888558,0.3359415689082494,-0.1675160328822647,0.9931281306069955,0.9468336116436784,0.3767646953956067,0.4930394865372175,19.0,19.0,9.0,19.0
16.9,-0.028202240950645455,-0.03855187225552313,-0.1400135162383729,-0.42501256145918076,0.9115502445989743,0.8792855117064935,0.7408854724548593,0.07871373625781523,18.0,18.0,8.0,18.0
17.0,0.21125987112626193,0.20902076493051505,0.20019103680603276,-0.4961491737540199,0.40006101300082697,0.4051895374953669,0.6669140926642239,0.036244032015747385,18.0,18.0,7.0,18.0
17.1,0.42543197632363106,0.4275609422699013,-0.28663375566525007,-0.5317183673331403,0.07838749398094566,0.076746763426818,0.4545899038415985,0.023141776574177056,18.0,18.0,9.0,18.0
17.2,0.48069457236728774,0.4892344925515673,-0.28617609729174254,-0.5596414052588006,0.05079481209163393,0.046251673799531,0.49199615890292403,0.019491433776442864,17.0,17.0,8.0,17.0
17.3,0.6713473706271563,0.6681264712117241,-0.14656270115935868,-0.27587383418306954,0.0031693955751244196,0.003373836392349944,0.72910489846209,0.28381371464073235,17.0,17.0,8.0,17.0
17.4,0.6782898636299892,0.675549705965284,-0.4863234475941391,-0.44558814811139374,0.003874254252042997,0.004077484938271215,0.221717943186179,0.08367429484999475,16.0,16.0,8.0,16.0
17.5,0.5678686661545858,0.5761729199301461,0.0526245003587401,-0.2793658747489218,0.021751659482658524,0.0194925998156071,0.8930413474480499,0.2947002943295671,16.0,16.0,9.0,16.0
17.6,0.5656654758360916,0.572379913590167,0.189474112593609,0.23075473366667196,0.022383588868518895,0.020500713269504523,0.576849899634126,0.38987870857185447,16.0,16.0,11.0,16.0
17.7,0.2878414242339595,0.3069985339695517,0.15365179427825187,0.18147514731207812,0.2796714024175991,0.24744283252958268,0.6519467396638347,0.501178426355474,16.0,16.0,11.0,16.0
17.8,0.040956511597231515,0.05092318131157139,0.6884809358250747,0.3354273107222075,0.8802921707426052,0.8514333167652067,0.02770987588290762,0.2040636638269472,16.0,16.0,10.0,16.0
17.9,-0.08931079983843189,-0.08542084185113451,0.6884809358250747,0.4041274458740153,0.7332003722937832,0.7444481068243606,0.02770987588290762,0.10765014345516756,17.0,17.0,10.0,17.0
18.0,-0.05695916889438579,-0.052919326144175924,0.7569551140099473,0.41373375230771475,0.8340391716878712,0.8456734501675662,0.018201298353789603,0.11115089167494675,16.0,16.0,9.0,16.0
18.1,0.004768434898784188,0.008076118531494862,0.7634230535649476,0.5207698905800344,0.9855087034023486,0.9754588959884332,0.016675860239925178,0.03208294398404351,17.0,17.0,9.0,17.0
18.2,0.013621545215432056,0.016459447784188497,0.5670894446676972,0.5058300034222083,0.9586186567535937,0.950006543907404,0.11130620724312433,0.038306246746371606,17.0,17.0,9.0,17.0
18.3,0.21261536887588361,0.23007511378287684,-0.1606149179670466,0.20362212537766175,0.412619210596623,0.3743411419436219,0.679750637780711,0.43311487992615505,17.0,17.0,9.0,17.0
18.4,0.33647939005341604,0.34966494413221877,0.2823930455468114,0.13161108324853477,0.17216464881843377,0.1549195355527524,0.46158538745902167,0.6026693498682689,18.0,18.0,9.0,18.0
18.5,0.4101531841330374,0.41246660907751675,0.10096462016952609,-0.16042447412767127,0.10201174456040214,0.09990399325084745,0.8294694277604455,0.5385087628337041,17.0,17.0,7.0,17.0
18.6,0.49754238639483794,0.4975213689811313,0.12295937383709231,-0.11525007500805332,0.049875680780749825,0.04988686851625497,0.8164904510990145,0.6708176142625454,16.0,16.0,6.0,16.0
18.7,0.484910548104533,0.4793190632809742,0.03765402926377789,-0.13461933205793292,0.05694260079134668,0.06029605600404346,0.9435456495336707,0.6191396545967555,16.0,16.0,6.0,16.0
18.8,0.435909845338818,0.42793177967371043,0.010006018046111904,-0.15725601775788586,0.09144142853986115,0.09822006333657964,0.983014106531473,0.5608109078644208,16.0,16.0,7.0,16.0
18.9,0.15742777554065135,0.15029897739626819,-0.020514830099104864,-0.14049106666060507,0.5603775464341465,0.5784839595231865,0.9615454844960412,0.603785059708051,16.0,16.0,8.0,16.0
19.0,0.2830193222594684,0.2725700092303079,0.004588964087409937,-0.006075033784392775,0.2710122984859159,0.28985441775166293,0.9906516031819792,0.9815385098137525,17.0,17.0,9.0,17.0
