Age [ka],d18O GRIP,T GRIP,d18O GoM,Pa/Th
45.6,-38.05500000000001,-38.10561087499998,,
45.65,-38.23,-38.59980008333329,,
45.7,-38.28666666666666,-38.758437499999964,,
45.75,-38.3575,-38.97896481249997,,
45.8,-38.155,-38.408273124999965,,
45.85,-37.78333333333333,-37.34506858333332,,
45.9,-37.983333333333334,-37.897956083333334,,
45.95,-37.915,-37.717569375,,
46.0,-37.57666666666666,-36.81995791666665,,
46.05,-37.56333333333333,-36.77660508333333,,
46.1,-37.59,-36.85447499999998,,
46.15,-37.3825,-36.33138306249998,,
46.2,-37.35,-36.237344750000005,,
46.25,-37.48666666666667,-36.59411416666665,,
46.3,-37.265,-36.04678212499998,,
46.35,-37.37,-36.301950499999975,,
46.4,-37.224999999999994,-35.99233762499997,,
46.45,-36.93,-35.263538583333286,,
46.5,-37.550000000000004,-36.73798774999994,,
46.55,-37.435,-36.45230674999998,,
46.6,-36.9525,-35.2870018125,,
46.65,-36.667500000000004,-34.6178181875,,
46.7,-36.5125,-34.268645187499985,,
46.75,-36.565000000000005,-34.42531612499997,,
46.8,-38.06,-38.8131918333333,,
46.85,-40.730000000000004,-46.87249124999997,,
46.9,-40.715,-46.81579312499997,,
46.95,-41.105,-48.362767124999976,,
47.0,-41.51,-49.95442725000001,,
47.05,-41.36,-49.34557725000002,,
47.1,-41.08,-48.23169524999997,,
47.15,-41.075,-48.21169862499997,,
47.2,-40.980000000000004,-47.84748999999999,,
47.25,-40.345,-45.464382624999956,,
47.3,-40.295,-45.27548512499993,,
47.35,-40.62,-46.456396999999924,,
47.4,-40.64,-46.531647999999905,,
47.45,-40.49,-45.975350499999934,,
47.5,-41.185,-48.77896312499996,,
47.55,-40.95,-47.94226324999997,,
47.6,-40.849999999999994,-47.51595824999998,,
47.65,-41.83,-51.28626324999999,,
47.7,-41.0,-47.912499999999966,,
47.75,-41.019999999999996,-47.99075399999998,,
47.8,-41.349999999999994,-49.32133049999996,,
47.85,-41.879999999999995,-51.50728899999996,,
47.9,-42.1,-52.44092499999999,,
47.95,-40.92,-47.60133200000001,,
48.0,-41.165,-48.57362062499999,,
48.05,-41.31,-49.14347425,,
48.1,-41.21,-48.74103925000003,,
48.15,-41.39,-49.46472924999995,,
48.2,-41.05,-48.13048424999994,,
48.25,-40.504999999999995,-46.034782124999936,,
48.3,-40.754999999999995,-47.007182124999986,,
48.35,-41.21,-48.74103925000003,,
48.4,-40.05,-44.37648124999998,,
48.45,-39.27,-41.79165724999998,,
48.5,-39.21666666666666,-41.604539916666646,,
48.55,-40.495000000000005,-46.060027124999976,,
48.6,-40.195,-45.05138212499999,,
48.65,-39.370000000000005,-42.060035249999984,,
48.7,-39.715,-43.22595412499996,,
48.75,-39.45,-42.37630449999999,,
48.8,-38.88,-40.51874549999997,,
48.85,-38.62,-39.750692499999964,,
48.9,-38.38,-39.00835383333334,,
48.95,-38.63333333333333,-39.755737833333335,,
49.0,-39.515,-42.610889124999986,,
49.05,-39.050000000000004,-41.14570608333332,,
49.1,-38.42000000000001,-39.125784333333314,,
49.15,-38.105000000000004,-38.22438062499998,,
49.2,-38.973333333333336,-41.05125183333331,,
49.25,-40.166666666666664,-45.14152116666665,,
49.3,-41.125,-48.43840312499998,,
49.35,-40.35,-45.479162499999944,,
49.4,-40.275,-45.19711562499998,,
49.45,-40.19,-44.90069725000001,,
49.5,-39.629999999999995,-42.93165324999998,,
49.55,-39.75,-43.35174324999997,,
49.6,-39.379999999999995,-42.18324624999998,,
49.65,-39.03,-40.98897624999999,,
49.7,-39.459999999999994,-42.356892250000016,,
49.75,-39.36,-42.03299725000001,,
49.8,-39.325,-41.91633262499998,,
49.85,-39.68666666666667,-43.15345633333331,,
49.9,-39.765,-43.42871162500002,,
49.95,-39.525,-42.672615625000006,,
50.0,-39.185,-41.487596624999995,,
50.05,-39.31,-41.87586225,,
50.1,-39.58,-42.809630249999955,,
50.15,-39.980000000000004,-44.13293024999996,,
50.2,-39.65,-42.999589249999964,,
50.25,-39.50666666666667,-42.515197833333296,,
50.3,-39.57,-42.726324499999976,,
50.35,-39.65,-42.9925245,,
50.4,-39.230000000000004,-41.6273145,,
50.45,-39.17,-41.42504008333335,,
50.5,-39.156666666666666,-41.38395875000003,,
50.55,-39.175,-41.448623625000025,,
50.6,-39.425,-42.24103612500001,,
50.65,-39.205,-41.52677312499998,,
50.7,-39.343333333333334,-41.98386574999997,,
50.75,-39.39000000000001,-42.13268108333332,,
50.8,-38.99,-40.85048624999999,,
50.85,-39.2,-41.54279325000003,,
50.9,-39.28333333333334,-41.795791416666674,,
50.95,-39.25333333333333,-41.69498466666665,,
51.0,-39.33,-41.936502499999975,,
51.05,-39.415,-42.22343062499995,,
51.1,-39.215,-41.60259062499996,,
51.15,-39.196666666666665,-41.52670941666664,,
51.2,-39.33,-41.952961249999944,,
51.25,-38.769999999999996,-40.169333249999966,,
51.3,-38.745000000000005,-40.09148762500001,,
51.35,-38.89333333333334,-40.54067949999998,,
51.4,-39.053333333333335,-41.05213549999996,,
51.45,-39.51,-42.523748499999954,,
51.5,-39.629999999999995,-42.923972499999934,,
51.55,-39.34,-41.977977999999965,,
51.6,-38.64,-39.78553133333333,,
51.65,-38.419999999999995,-39.120394333333316,,
51.7,-38.055,-38.10216512499997,,
51.75,-38.26333333333333,-38.69617658333333,,
51.8,-38.596666666666664,-39.64235991666666,,
51.85,-38.48666666666667,-39.31970516666666,,
51.9,-38.199999999999996,-38.498261833333316,,
51.95,-38.41,-39.14599224999998,,
52.0,-38.61666666666667,-39.744432583333314,,
52.05,-38.35333333333333,-38.96399816666664,,
52.1,-38.23,-38.57362649999999,,
52.15,-38.09,-38.18564274999999,,
52.2,-38.21666666666667,-38.557871749999975,,
52.25,-38.465,-39.25927162499997,,
52.3,-38.163333333333334,-38.38687308333331,,
52.35,-38.32,-38.846959999999974,,
52.4,-38.07666666666666,-38.20954941666665,,
52.45,-37.673333333333325,-37.082525166666635,,
52.5,-37.724999999999994,-37.19720612499995,,
52.55,-38.12,-38.26717383333332,,
52.6,-38.083333333333336,-38.16796391666665,,
52.65,-38.21,-38.531171083333305,,
52.7,-38.25333333333333,-38.64858599999997,,
52.75,-37.940000000000005,-37.76757949999998,,
52.8,-37.95333333333333,-37.80414349999998,,
52.85,-37.79,-37.369478499999985,,
52.9,-37.62,-36.91916233333331,,
52.95,-37.565,-36.77422312499999,,
53.0,-37.98,-37.882353499999994,,
53.05,-38.07666666666666,-38.14279041666666,,
53.1,-37.725,-37.20286562499999,,
53.15,-37.656666666666666,-37.016344583333336,,
53.2,-37.81333333333334,-37.42817816666666,,
53.25,-37.720000000000006,-37.21232149999998,,
53.3,-37.81666666666667,-37.48057391666666,,
53.35,-37.75333333333334,-37.28994849999997,,
53.4,-37.47333333333333,-36.54258649999996,,
53.45,-37.51,-36.632158583333315,,
53.5,-37.66,-37.02126983333334,,
53.55,-37.53666666666667,-36.709277750000005,,
53.6,-37.54,-36.718219833333315,,
53.65,-37.44,-36.47209483333327,,
53.7,-37.46333333333333,-36.53504874999994,,
53.75,-37.31333333333333,-36.182191666666625,,
53.8,-36.90333333333333,-35.16755441666664,,
53.85,-37.416666666666664,-36.48669274999998,,
53.9,-38.4,-39.245753999999955,,
53.95,-38.15,-38.762804499999945,,
54.0,-37.24333333333333,-36.009949083333304,,
54.05,-37.690000000000005,-37.12650408333332,,
54.1,-37.11,-35.794388500000025,,
54.15,-38.98333333333333,-41.80157008333333,,
54.2,-41.73,-50.865733250000005,,
54.25,-40.78,-47.06271700000002,,
54.3,-40.975,-47.82231512500002,,
54.35,-40.915,-47.59448312499998,,
54.4,-41.19499999999999,-48.73639312499998,,
54.45,-41.73,-50.865733250000005,,
