depth	min	max	median	mean
231	7936	8623	8399	8365
232	7957	8650	8422	8389
233	7974	8683	8444	8412
234	7998	8723	8465	8436
235	8023	8769	8485	8460
236	8054	8784	8510	8482
237	8075	8800	8533	8505
238	8098	8821	8554	8527
239	8118	8846	8576	8550
240	8136	8874	8596	8572
241	8160	8891	8617	8592
242	8178	8907	8637	8612
243	8197	8927	8656	8632
244	8213	8949	8675	8653
245	8221	8977	8695	8673
246	8273	8987	8719	8697
247	8313	9005	8744	8721
248	8353	9023	8770	8746
249	8381	9050	8796	8770
250	8406	9076	8820	8795
251	8430	9095	8846	8821
252	8447	9123	8873	8847
253	8464	9160	8897	8874
254	8482	9206	8921	8900
255	8497	9258	8944	8926
256	8532	9280	8975	8955
257	8567	9303	9004	8984
258	8602	9332	9031	9013
259	8626	9371	9059	9043
260	8645	9419	9085	9072
261	8676	9435	9112	9098
262	8708	9451	9139	9124
263	8734	9472	9168	9150
264	8751	9495	9193	9176
265	8769	9532	9218	9202
266	8815	9547	9251	9234
267	8856	9569	9287	9266
268	8898	9589	9322	9298
269	8927	9629	9356	9330
270	8956	9668	9388	9362
271	8988	9695	9421	9393
272	9020	9726	9450	9425
273	9041	9773	9480	9457
274	9068	9825	9508	9489
275	9084	9890	9536	9521
276	9116	9913	9569	9552
277	9146	9931	9601	9583
278	9175	9959	9633	9614
279	9198	9993	9662	9646
280	9226	10036	9691	9677
281	9267	10055	9727	9710
282	9302	10075	9763	9743
283	9337	10098	9797	9776
284	9364	10124	9831	9808
285	9392	10163	9861	9841
286	9433	10182	9893	9871
287	9468	10201	9926	9902
288	9492	10233	9958	9932
289	9532	10262	9991	9962
290	9558	10297	10021	9992
291	9596	10323	10057	10027
292	9627	10357	10090	10062
293	9656	10409	10122	10098
294	9678	10474	10151	10133
295	9697	10538	10181	10168
296	9745	10561	10216	10202
297	9794	10598	10253	10236
298	9826	10635	10287	10270
299	9855	10679	10320	10304
300	9887	10726	10355	10338
301	9934	10747	10387	10373
302	9968	10767	10423	10408
303	9996	10790	10460	10444
304	10028	10820	10495	10479
305	10054	10851	10534	10514
306	10116	10872	10571	10552
307	10173	10896	10614	10589
308	10207	10923	10651	10627
309	10248	10957	10689	10665
310	10276	11003	10727	10702
311	10316	11019	10755	10730
312	10343	11033	10783	10757
313	10361	11054	10811	10784
314	10383	11078	10841	10812
315	10401	11106	10867	10839
316	10449	11121	10902	10870
317	10486	11143	10934	10901
318	10515	11171	10966	10933
319	10546	11216	10998	10964
320	10581	11273	11023	10995
321	10620	11295	11054	11025
322	10650	11326	11084	11055
323	10680	11369	11112	11086
324	10704	11415	11140	11116
325	10727	11465	11166	11146
326	10772	11478	11199	11177
327	10822	11501	11234	11208
328	10856	11527	11265	11240
329	10885	11555	11297	11271
