depth	min	max	median	mean
235	7691	8561	8292	8249
236	7712	8579	8313	8271
237	7741	8602	8337	8293
238	7765	8627	8358	8315
239	7790	8660	8378	8337
240	7815	8696	8398	8359
241	7836	8711	8419	8380
242	7853	8731	8441	8401
243	7863	8754	8463	8422
244	7878	8782	8483	8442
245	7898	8807	8502	8463
246	7922	8822	8524	8484
247	7938	8834	8547	8505
248	7966	8847	8569	8526
249	7979	8866	8589	8547
250	8000	8886	8609	8568
251	8023	8914	8639	8597
252	8050	8946	8669	8626
253	8082	8980	8697	8655
254	8115	9027	8722	8684
255	8142	9080	8748	8713
256	8179	9098	8778	8741
257	8206	9120	8805	8768
258	8236	9147	8835	8796
259	8267	9179	8861	8824
260	8286	9222	8888	8851
261	8323	9235	8920	8881
262	8362	9248	8951	8911
263	8401	9270	8984	8941
264	8435	9298	9011	8971
265	8465	9327	9038	9001
266	8499	9338	9070	9030
267	8537	9351	9102	9059
268	8562	9368	9134	9088
269	8587	9391	9167	9118
270	8611	9422	9194	9147
271	8634	9448	9225	9176
272	8658	9488	9253	9205
273	8687	9532	9282	9234
274	8706	9584	9308	9263
275	8727	9641	9333	9292
276	8762	9662	9365	9323
277	8799	9687	9396	9354
278	8826	9718	9425	9385
279	8864	9758	9454	9417
280	8892	9810	9482	9448
281	8917	9830	9516	9479
282	8944	9858	9550	9510
283	8969	9887	9582	9542
284	8988	9925	9615	9573
285	9010	9967	9643	9604
286	9050	9979	9675	9634
287	9085	9999	9707	9664
288	9114	10023	9738	9694
289	9142	10046	9769	9724
290	9165	10080	9798	9754
291	9208	10110	9830	9787
292	9257	10147	9859	9820
293	9305	10184	9891	9853
294	9339	10240	9921	9886
295	9375	10297	9951	9919
296	9406	10318	9987	9954
297	9440	10342	10021	9988
298	9470	10369	10060	10023
299	9492	10411	10095	10058
300	9518	10464	10128	10092
301	9564	10481	10166	10128
302	9610	10501	10206	10163
303	9642	10528	10244	10199
304	9679	10562	10278	10234
305	9709	10600	10313	10270
306	9752	10615	10351	10304
307	9791	10635	10385	10337
308	9824	10660	10419	10371
309	9854	10704	10450	10404
310	9887	10756	10482	10438
311	9915	10773	10512	10467
312	9941	10795	10542	10497
313	9970	10826	10571	10526
314	9996	10863	10599	10555
315	10020	10903	10627	10585
316	10054	10921	10658	10614
317	10085	10942	10688	10644
318	10113	10968	10719	10673
