Depth,Mg/Ca,d18O VPDB G. ruber white,Author
[cm],[mmol/mol],[permil],
598,2.26,0.937427471025554,"Williams et al. (2010, 2012)"
599,2.47,0.97523918127655,"Williams et al. (2010, 2012)"
600,2.21,1.09643056028615,"Williams et al. (2010, 2012)"
601,2.18,1.33978284933742,"Williams et al. (2010, 2012)"
602,2.39,0.799754064470651,"Williams et al. (2010, 2012)"
603,2.36,1.46485235247533,"Williams et al. (2010, 2012)"
607,2.52,1.37565549752426,"Williams et al. (2010, 2012)"
608,,1.47163906969987,"Williams et al. (2010, 2012)"
609,,1.83036555156828,"Williams et al. (2010, 2012)"
610,2.28,,"Williams et al. (2010, 2012)"
611,2.28,1.24379927716182,"Williams et al. (2010, 2012)"
612,2.41,1.56571095951864,"Williams et al. (2010, 2012)"
613,2.34,0.768950919421716,"Williams et al. (2010, 2012)"
617,2.19,0.736956395363187,"Williams et al. (2010, 2012)"
618,2.56,0.87075167778978,"Williams et al. (2010, 2012)"
619,2.47,0.679754064470654,"Williams et al. (2010, 2012)"
620,2.35,0.902746201848316,"Williams et al. (2010, 2012)"
621,2.54,0.918258698361541,"Williams et al. (2010, 2012)"
622,,0.76,Williams (2014)
624,2.33,0.93,Williams (2014)
625,,0.25,Williams (2014)
626,2.44,0.49,Williams (2014)
628,,1.09,Williams (2014)
629,2.15,1.28,Williams (2014)
630,2.29,0.55,Williams (2014)
631,,0.2,Williams (2014)
632,2.84,0.22,Williams (2014)
633,,0.62,Williams (2014)
635,2.47,0.3,Williams (2014)
636,,0.8,Williams (2014)
638,,1.09,Williams (2014)
641,2.31,1.09,Williams (2014)
642,,0.95,Williams (2014)
643,2.11,0.86,Williams (2014)
645,,0.45,Williams (2014)
646,,1.1,Williams (2014)
647,3,0.53,Williams (2014)
648,,0.66,Williams (2014)
649,,0.76,Williams (2014)
650,,0.2,Williams (2014)
651,2.63,0.17,Williams (2014)
652,,0.14,Williams (2014)
653,2.35,0.19,Williams (2014)
654,,-0.3,Williams (2014)
656,2.57,0.16,Williams (2014)
659,2.59,-0.07,Williams (2014)
660,,-0.03,Williams (2014)
662,2.35,1.02,Williams (2014)
663,2.53,0.48,Williams (2014)
664,,-0.07,Williams (2014)
665,2.1,0.25,Williams (2014)
667,2.37,,Williams (2014)
673,2.67,0.45,Williams (2014)
676,2.56,,Williams (2014)
678,2.6,,Williams (2014)
679,,0.29,Williams (2014)
680,,-0.25,Williams (2014)
682,2.24,,Williams (2014)
683,,0.43,Williams (2014)
684,2.51,0.02,Williams (2014)
685,,0.34,Williams (2014)
686,,0.41,Williams (2014)
688,2.4,0.33,Williams (2014)
691,,0.29,Williams (2014)
692,2.69,-0.22,Williams (2014)
693,,0.45,Williams (2014)
696,2.74,-0.4,Williams (2014)
698,2.73,-0.25,Williams (2014)
700,2.72,-0.52,Williams (2014)
701,,0.02,Williams (2014)
702,,0.09,Williams (2014)
703,2.79,-0.15,Williams (2014)
704,,0.09,Williams (2014)
705,,-0.4,Williams (2014)
706,,-0.14,Williams (2014)
707,2.69,-0.37,Williams (2014)
709,,0.25,Williams (2014)
711,,0.12,Williams (2014)
712,2.57,0.55,Williams (2014)
713,2.41,0.5,Williams (2014)
714,2.84,0.09,Williams (2014)
715,2.73,0.02,Williams (2014)
716,,-0.26,Williams (2014)
720,,0.54,Williams (2014)
721,2.56,0.24,Williams (2014)
723,,0.4,Williams (2014)
724,2.44,0.32,Williams (2014)
726,2.56,0.04,Williams (2014)
728,,-0.14,Williams (2014)
729,2.64,-0.11,Williams (2014)
731,,0.4,Williams (2014)
732,,-0.09,Williams (2014)
733,2.76,-0.09,Williams (2014)
734,,-0.78,Williams (2014)
735,,-0.48,Williams (2014)
736,2.81,0.24,Williams (2014)
738,,0.12,Williams (2014)
740,,0.21,Williams (2014)
741,2.76,-0.25,Williams (2014)
742,2.26,,Williams (2014)
743,,-0.2,Williams (2014)
744,,0.22,Williams (2014)
745,2.27,-0.56,Williams (2014)
746,,0.16,Williams (2014)
748,2.6,0.13,Williams (2014)
749,,0.4,Williams (2014)
750,,0.57,Williams (2014)
751,2.71,,Williams (2014)
753,,0.22,Williams (2014)
754,2.44,-0.27,Williams (2014)
756,,-0.08,Williams (2014)
758,2.63,0.6,Williams (2014)
761,2.6,-0.57,Williams (2014)
762,2.5,0.26,Williams (2014)
763,,0.18,Williams (2014)
764,2.07,0.1,Williams (2014)
765,,0.17,Williams (2014)
766,,0.32,Williams (2014)
768,,0.63,Williams (2014)
769,2.31,0.3,Williams (2014)
770,,0.15,Williams (2014)
771,,0.29,Williams (2014)
772,,-0.18,Williams (2014)
773,,-0.14,Williams (2014)
774,,0.37,Williams (2014)
775,,-0.12,Williams (2014)
776,2.44,,Williams (2014)
778,2.45,-0.19,Williams (2014)
779,,-0.26,Williams (2014)
781,2.26,-0.03,Williams (2014)
783,2.45,0.07,Williams (2014)
784,,-0.07,Williams (2014)
789,1.98,,Williams (2014)
793,2.51,0.15,Williams (2014)
794,,0.09,Williams (2014)
796,2.32,0.16,Williams (2014)
798,2.13,0.22,Williams (2014)
799,,0.34,Williams (2014)
800,,-0.08,Williams (2014)
801,2.26,0.09,Williams (2014)
803,,0.08,Williams (2014)
804,2.54,0.27,Williams (2014)
806,,0.12,Williams (2014)
807,,-0.17,Williams (2014)
808,,0.23,Williams (2014)
809,2.5,0.11,Williams (2014)
810,,0.36,Williams (2014)
811,,-0.04,Williams (2014)
812,2.27,,Williams (2014)
813,,-0.06,Williams (2014)
814,2.56,,Williams (2014)
815,,-0.17,Williams (2014)
816,,-0.05,Williams (2014)
817,2.39,0.14,Williams (2014)
818,,-0.42,Williams (2014)
819,2.31,0.17,Williams (2014)
820,,0.13,Williams (2014)
821,,0.2,Williams (2014)
822,2.03,0.32,Williams (2014)
829,,-1.03,Williams (2014)
831,,-0.87,Williams (2014)
833,,0.31,Williams (2014)
836,2.79,,Williams (2014)
837,2.64,,Williams (2014)
838,,-0.59,Williams (2014)
841,,0.62,Williams (2014)
846,,0.21,Williams (2014)
851,,0.14,Williams (2014)
852,2.78,0.3,Williams (2014)
853,,0.41,Williams (2014)
854,,0.12,Williams (2014)
855,2.78,-0.43,Williams (2014)
856,,-0.62,Williams (2014)
858,2.16,-0.24,Williams (2014)
860,,0.13,Williams (2014)
861,2.63,,Williams (2014)
864,2.41,0.5,Williams (2014)
870,,0.17,Williams (2014)
871,,-0.17,Williams (2014)
878,2.64,,Williams (2014)
880,3.02,,Williams (2014)
881,,-0.11,Williams (2014)
88,2.38,,Williams (2014)
884,,0.22,Williams (2014)
891.5,,-0.14,Williams (2014)
894,,-0.34,Williams (2014)
895,2.83,,Williams (2014)
896,,-0.53,Williams (2014)
897,,-0.16,Williams (2014)
898,3.2,-0.03,Williams (2014)
900.5,,-0.09,Williams (2014)
902.5,,-0.18,Williams (2014)
905.5,,0.32,Williams (2014)
